species;site;pH;Tank;chla;chlc;chltot;chltotsymbiont;symbiont
Porites sp.;Reference;Variable;A;2.480998974;5.744519009;8.225517983;5.878939068;1399150.066
Porites sp.;Reference;Variable;B;2.608597274;5.999878986;8.60847626;17.76508121;484572.8627
Porites sp.;Reference;Variable;C;1.899105198;4.410909594;6.310014792;17.42827673;362056.151
Porites sp.;Reference;Variable;C;2.693917444;6.209962623;8.903880066;14.47205955;615246.229
Porites sp.;Reference;Variable;A;1.945603;4.332229233;6.277832232;13.44205534;467029.1913
Porites sp.;Reference;Variable;B;4.047286959;9.593300291;13.64058725;11.81586509;1154429.84
Porites sp.;Reference;Variable;C;2.169778338;4.475529979;6.645308317;13.88025215;478759.9134
Porites sp.;Bourake;Variable;C;2.788801846;6.437018452;9.225820298;15.6450392;589696.2086
Porites sp.;Bourake;Variable;B;3.057100991;7.03279985;10.08990084;18.63757962;541373.9899
Porites sp.;Bourake;Variable;A;3.084755248;6.7615605;9.846315748;14.18411707;694178.9677
Porites sp.;Bourake;Variable;B;5.296632383;12.27993673;17.57656911;18.52812403;948642.6734
Porites sp.;Bourake;Variable;B;2.25539485;5.240500897;7.495895747;11.10511432;674994.9194
Porites sp.;Bourake;Variable;C;4.274607147;9.912559073;14.18716622;16.11533199;880352.0912
Porites sp.;Bourake;Variable;B;2.113146729;4.705514418;6.818661148;10.7192491;636113.6947
